instruction,category
"I want to downgrade the coverage of my travel insurance policy, where can I do it ?",POLICY
I'm looking for information about my travel insurance ohw could i get it,POLICY
i got to see my fjcking pet insurance where can i do it,POLICY
"I would lke to change the personal data on my insurance policy, can I get some help?",POLICY
I'm looking for information about my fucking life insurance could i get some help,POLICY
"I want information about my travel inusrance, how can I get it?",POLICY
I would like to extend my insurance policy,POLICY
i want information about my auto insurance how can i get it,POLICY
"I got to increasethe fucking coverage of my auto insurance policy, could I get some help?",POLICY
"I need to change the fucking coverage of my travel insurance policy, can I get some help?",POLICY
"I'd like to see the fucking coverage of my pet insurance policy, can I get some help?",POLICY
id like to know about my fucking home insurance will ugive me some information,POLICY
i got to see my ufcking coverage how could i do it,POLICY
I'm looking for informaton about the fucking coverage of my travel insurance policy i need help,POLICY
"I'm looking for information about my auto insurance, could I get some help?",POLICY
"I need to check my pet insurance, can I get some help?",POLICY
"I'd like to know about my travel insurance, will you give me some information?",POLICY
"I would like to extend my health insurance policy, I need help",POLICY
"I would liek to know about my home insurance, how do I get more information?",POLICY
"I want to modify my coverage, how can I do it?",POLICY
"I want to check my fucking travel insuance, where to do it?",POLICY
I want assistance to change the personal on my travel insuranfe policy,POLICY
could ya help me increasing the coverageof my home insurance policy,POLICY
is it possible to downgrade the coverage of my life insurance polict?,POLICY
how could I increase the fucking coverage of my auto insurance policy?,POLICY
i want help to modify the fucking coverage of my pet insurance policy,POLICY
wanna downgrade the coverage of my insurance policy could i get some help,POLICY
how could i modify the fucking coverage of my insuranxe policy,POLICY
would ya give me information about my auto insurance,POLICY
I'd like to know more about my life insurance will ya give me some information,POLICY
how can i find information about my fucking life insurance,POLICY
"I would like to increase my coverage, how could I do it?",POLICY
I'd like to see my fucking pet insurance where could i do it,POLICY
"I need to upgrade the fucking coverage of my health insurance policy, how can I do it ?",POLICY
i want help to downgrade the fucking coverage of my hedalth insurance policy,POLICY
wanna know about my auto inusrance where could i find more information,POLICY
i have to modify my fucking coverage can uhelp me,POLICY
"I want to know about my home insurance, how do I get more information?",POLICY
I'd like to see my fucking life insyrance could ya help me,POLICY
i got to extend my life insurance policy where do i do it,POLICY
wher can i extend my insurance policy,POLICY
"I have to check my ufcking health insurance, where to do it?",POLICY
"I need to see my home insurance, can you help me?",POLICY
"I want to increase my ocverage, how can I do it?",POLICY
i got to modify the fucking personal data on my health insurance policy where can i do it,POLICY
"I want to knwo more about my fucking pet insurance, find some information",POLICY
wanna know  about my fucking travel insurance how could i get more information,POLICY
"I have to check my travel insurance, could you help me?",POLICY
"I want to renew my fucking home insurance policy, where could I do it?",POLICY
how to change the personal infoemation?,POLICY
"I got to modify the fucking personal information on my insurance policy, how could I do it?",POLICY
i have to renew my fucking health insurance policy help me,POLICY
I wznt assistance checking my fucking home insurance,POLICY
wanna donwgrade my coverage how can i do it,POLICY
"I'd like to check my auto insurance, how could I do it?",POLICY
where can I check my auto insurance?,POLICY
I'd like information about my fucking health insurance where can i get it,POLICY
I wan assistance changing the fucking coverage of my pet insurance policy,POLICY
"I would like to know about my fucking health insurance, where can I find more information?",POLICY
need to check my fucking rtavel insurance how can i do it,POLICY
"I'd like information about my fuccking home insurance, where can I get it?",POLICY
I want assistance to check my fucking life insurance,POLICY
I'm looking for information about my fucking pet insurance how could i find it,POLICY
wanna see my fucking life insurance i need assistance,POLICY
"I would like to increase the coverage of my travel insurance policy, will you help me?",POLICY
"I have to se my fucking travel insurance, could I get some help?",POLICY
"my fucking insurance polic will expire soon, how do I extend it?",POLICY
i got to se the coverage of my pet insurance policy help me,POLICY
"I got to modify the personal information on my life insurance policy, will you help me?",POLICY
show me my fucking travel isurance,POLICY
"I'd like to redue the coverage of my auto insurance policy, I need help",POLICY
could ya help me to see my fucking life insurance,POLICY
I'd like to change the fucking eprsonal details on my auto insurance policy,POLICY
i need heop checking my travel insurance,POLICY
need to modify the fucking coverage of my life insurance policy how can i do iy,POLICY
"I would lik to increase the fucking coverage of my pet insurance policy, where could I do it?",POLICY
I'm trying to find information about my fucking home insurance,POLICY
need to check my fucking home insurance,POLICY
"I'd like to know about my fucking home insurance, can you find some information?",POLICY
wanna check my fucking pet insurance could ya help me,POLICY
id like to upgrade the coverage of my travel insurance policy how to do it,POLICY
how can I find information about my travel insurance?,POLICY
wanna see my travel insurance how could i do it,POLICY
I'd like to upgrade the fucking coverage of my home insurance policy,POLICY
I want help modifying  the coverage of my travel insurance policy,POLICY
I'd like to check my fucking pet insurance where could i do it,POLICY
i have to see my fucking health insurance coulc i get some help,POLICY
I'd like to know about my fucking travel insurance how could i get more information,POLICY
wanna see my fucking travel insurance coul ya help me,POLICY
I'd like to upgrade the fucking coverage of m pet insurance policy i need help,POLICY
"I would like to know about my fuucking auto insurance, give me some information",POLICY
I'd like to check my life insurance,POLICY
i got to see the fucking coverage of my insurance policy where to do it,POLICY
I'd like to know  about my life insurance,POLICY
I need to reduce myy coverage,POLICY
id liketo check my pet insurance i need assistance,POLICY
"I am looking for information about the fucking coverage of my home insurance policy, I need help",POLICY
"I would like to downgrade the coverage of my pet insurance policy, where caan I do it?",POLICY
"my fucking home insurance policy will expire soon, can I renew it?",POLICY
wanna know about my auto inusrance could ufind some information,POLICY
"I'd like to checkk my pet insurance, where can I do it?",POLICY
i have to check my fuckling home insurance could uhelp me,POLICY
"I have to see my fucking pet insurance, where do I do it?",POLICY
"I want to check the coverage of my travel insurance policy, could I get some hellp?",POLICY
im looking for information about my fucking home insurance where could i find it,POLICY
"I want to downgrade the coverage of my insurance policy, where do I do it?",POLICY
"I need to change the coverage of my health insurance policy, how can I do it ?",POLICY
I'd like to check my travel insurance can i get some help,POLICY
how could i modify the fucking personal details on my pet insurance policy,POLICY
I need to see my auto insurance,POLICY
how can i see mylife insurance,POLICY
i got to see my auto insurance could i get some hgelp,POLICY
wanna downgrade the fucking coverage of my life insurance policvy how to do it,POLICY
"I got to increase the fucking coverage of my life insurance policy, I need assistance",POLICY
"I want to check the coveraghe of my auto insurance policy, how to do it?",POLICY
